9.238882	9.238882	
17.947152	17.947152	 
35.467734	35.467734	
44.280046	44.280046	  
52.977912	52.977912	
61.592545	61.592545	
66.003902	66.003902	
67.314825	67.314825	
67.678970	67.678970	
67.928670	67.928670	
68.209581	68.209581	
69.603737	69.603737	
69.832628	69.832628	
70.134348	70.134348	
70.394452	70.394452	
71.455675	71.455675	
71.736587	71.736587	
72.059115	72.059115	
72.340027	72.340027	
72.558514	72.558514	
73.380442	73.380442	
73.640546	73.640546	
73.931862	73.931862	
74.212774	74.212774	 
74.420857	74.420857	
74.753789	74.753789	
76.938660	76.938660	
77.500484	77.500484	
79.144339	79.144339	
79.716567	79.716567	
81.308401	81.308401	
81.870225	81.870225	
83.482868	83.482868	
84.065500	84.065500	
85.678143	85.678143	 
94.448838	94.448838	
103.146704	103.146704	
111.782145	111.782145	 
113.967016	113.967016	
114.570456	114.570456	
116.172695	116.172695	
116.755327	116.755327	
118.399182	118.399182	
118.877773	118.877773	  
120.521628	120.521628	
121.062643	121.062643	
122.113462	122.113462	
122.820944	122.820944	
124.922582	124.922582	
125.546830	125.546830	 
127.117856	127.117856	 
127.679680	127.679680	
131.508406	131.508406	 
140.185464	140.185464	
144.555205	144.555205	
145.075412	145.075412	
149.070604	149.070604	 
153.253071	153.253071	 
166.424720	166.424720	 
175.143394	175.143394	
183.862069	183.862069	
196.888060	196.888060	
201.278609	201.278609	
203.505097	203.505097	 
205.648351	205.648351	
209.997284	209.997284	
215.532289	215.532289	
216.094113	216.094113	
217.696352	217.696352	
218.258176	218.258176	
219.902031	219.902031	
220.463855	220.463855	
222.086901	222.086901	
